,City,Country,Lat,Lng,Hotel Name
102,Tauberbischofsheim,DE,49.62,9.66,Hotel - Landgasthof Grüner Baum Dittigheim
103,Yumen,CN,40.28,97.2,
104,Worland,US,44.02,-107.96,Comfort Inn Worland Hwy 16 To Yellowstone
105,Husavik,IS,66.04,-17.34,Húsavík Hotels
106,Harper,LR,4.38,-7.72,Grands' Guesthouse
107,Geraldton,AU,-28.77,114.6,Ocean Centre Hotel
108,Caravelas,BR,-17.71,-39.25,Pousada Encanto Abrolhos
109,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,Bay House
110,Myitkyina,MM,25.38,97.4,Palm Spring Resort Hotel Myitkyina
111,Pisco,PE,-13.7,-76.22,Hotel San Jorge Residencial
112,Mehamn,NO,71.04,27.85,Mehamn Arctic Hotel AS
113,Lázaro Cárdenas,MX,17.96,-102.2,Hotel de Casablanca
114,Pangoa,PE,-12.12,-73.0,
115,Vredendal,ZA,-31.67,18.5,Voorsorg Guest House
116,Bethel,US,41.37,-73.41,Hampton Inn Danbury
117,Vaini,TO,-21.2,-175.2,Paradise First Hotel
118,Yangi Marg`ilon,UZ,40.43,71.72,"Hotel ""ADRAS"" Гостиницы"
119,Yellowknife,CA,62.46,-114.35,The Explorer Hotel
121,Viedma,AR,-40.81,-63.0,Alta Patagonia Apart
122,Tasiilaq,GL,65.61,-37.64,The Red House
123,Saint George,US,37.1,-113.58,Hampton Inn St. George
124,Bani Walid,LY,31.76,13.99,فندق الزيتونة
125,Ponta do Sol,PT,32.67,-17.1,Hotel Da Vila
128,Ilulissat,GL,69.22,-51.1,Hotel Arctic
129,Grindavik,IS,63.84,-22.43,Harbour View
130,The Pas,CA,53.83,-101.25,Wescana Inn
131,Skalat,UA,49.43,25.98,
132,São Gabriel da Cachoeira,BR,-0.12,-67.08,Hotel Roraima
133,Beira,MZ,-19.84,34.84,Beira Terrace Hotel
134,Hithadhoo,MV,-0.6,73.08,Pebbles Inn
135,Barra do Corda,BR,-5.5,-45.25,Hotel Diniz
136,Gigmoto,PH,13.78,124.39,
137,Arona,ES,28.1,-16.68,Iberostar Las Dalias
138,Kavieng,PG,-2.57,150.8,Nusa Island Retreat
139,East London,ZA,-33.02,27.91,Premier Hotels & Resorts
140,Broken Hill,AU,-31.95,141.43,ibis Styles Broken Hill
141,Saint Anthony,US,45.02,-93.22,Hampton Inn & Suites Minneapolis/Downtown
142,Belle Fourche,US,44.67,-103.85,AmericInn by Wyndham Belle Fourche
143,Mikuni,JP,36.22,136.15,Awara Onsen Mimatsu
144,Klaksvík,FO,62.23,-6.59,Hotel Klaksvík
145,Barrow,US,71.29,-156.79,Top of the World Hotel
146,Hamilton,US,39.18,-84.53,
147,Bilibino,RU,68.05,166.44,Profilaktoriy Baes
148,Miechów,PL,50.36,20.03,Hotel Restauracja - Zajazd Miechus
149,Marystown,CA,47.17,-55.15,Braxton Suites
150,Nhulunbuy,AU,-12.23,136.77,Walkabout Lodge & Tavern
151,Hasaki,JP,35.73,140.83,別邸 海と森
152,Hervey Bay,AU,-25.3,152.85,Shelly Bay Resort
153,Malanje,AO,-9.54,16.34,Palanca Hotel
155,Saldanha,ZA,-33.01,17.94,Blue Bay Lodge
156,Szentes,HU,46.65,20.27,Open Hotel Szentes
157,Tuktoyaktuk,CA,69.45,-133.04,Hunter's B&B
158,Dingle,PH,11.0,122.67,
160,Kumul,CN,42.8,93.45,哈密环球大酒店
161,Dombasle-sur-Meurthe,FR,48.63,6.35,Hôtel Restaurant l'Epicurien
